都市ID,都市名
1858419,"Kumamoto"
1858421,"Kumamoto"
1858373,"Kunigami"
7279571,"Kunisaki-shi"
1907165,"Kunitachi"
1858333,"Kuradani"
1858695,"Kuragaki-kosugi"
1858311,"Kurashiki"
1858301,"Kurayoshi"
1858296,"Kure"
1858283,"Kurihashi"
1858249,"Kuroda"
2129395,"Kuroishi"
2112077,"Kuroiso"
2129387,"Kuromatsunai"
2112062,"Kurosawajiri"
1858088,"Kurume"
1858067,"Kusatsu"
1858041,"Kushikino"
1895695,"Kushima"
1858033,"Kushimoto"
1858025,"Kushiro"
2129376,"Kushiro"
2129365,"Kutchan"
1857968,"Kuwana"
1857910,"Kyoto"
1857907,"Kyoto Prefecture"
2129350,"Kyōgoku"
1857922,"Kyōguchi"
1857906,"Kyōto-shi"
1859143,"Kōchi"
1859100,"Kōfu"
1863822,"Kōfukuchō"
1858836,"Kōnan"
1858794,"Kōnosu"
2112141,"Kōriyama"
1858681,"Kōtari"
2128852,"Kōtoku"
6417596,"Kōya"
1857871,"Machida"
2112034,"Maebara"
1857844,"Maebaru-chūō"
1857843,"Maebashi"
1857838,"Maeda"
1857829,"Maehama"
1857769,"Maibara"
1857766,"Maizuru"
2112019,"Makabe"
1857751,"Maki"
1857736,"Makinohara"
2129327,"Makkari"
2129324,"Makubetsu"
1857712,"Makurazaki"
1857706,"Mameda-honmachi"
1857692,"Manazuru"
1926102,"Mannen"
1857672,"Manzawa"
1857665,"Marugame"
2112008,"Marumori"
1857654,"Marunouchi"
1857651,"Maruoka"
1926101,"Masaki-chō"
2130558,"Mashike"
2111999,"Mashiko"
1857594,"Masuda"
2128131,"Masukawachō"
1857578,"Matoba"
1857568,"Matsubara"
1857560,"Matsubase"
1857553,"Matsudo"
1857550,"Matsue"
1857533,"Matsugasakihama"
2129282,"Matsumae"
1857519,"Matsumoto"
2111964,"Matsushima"
1857470,"Matsutō"
1926099,"Matsuyama"
1857496,"Matsuzaka-shi"
1857451,"Matsuzaki"
1857441,"Mayanoheta"
2114102,"Mazawa"
2129262,"Memuro-minami"
1857403,"Menuma"
1857379,"Mibu"
2129379,"Midori"
1857357,"Mie"
1857352,"Mie-ken"
1857343,"Mifune"
6419747,"Mihama"
1857334,"Mihara"
2111943,"Miharu"
1848230,"Miimachi-yoromi"
1857276,"Miki"
1857260,"Mikuni"
1857213,"Minagi"
1857209,"Minakuchichō-matoba"
1857208,"Minamata"
2111937,"Minami"
1857173,"Minamikasagi"
1857144,"Minamirinkan"
1857140,"Minamisenju"
1857117,"Minano"
1852383,"Minato"
1857105,"Minato"
2130557,"Minato"
1857089,"Minatomachi"
1907190,"Minawa"
1857046,"Mino"
1857062,"Mino"
1857061,"Minobu"
6822217,"Minokamo"
1857036,"Minowa"
1898149,"Mirukashi"
2129210,"Misawa"
2129211,"Misawa"
1856977,"Mishima"
1856950,"Mita"
1856942,"Mitaka-shi"
1856938,"Mitake"
2111901,"Mito"
1860293,"Mitsu-kanagawa"
1861202,"Mitsuchō-iwami"
1856900,"Mitsugarasu"
1856881,"Mitsukaidō"
1856878,"Mitsuke"
1854712,"Mitsushimachō-ōfunakoshi"
1907309,"Miura"
1856845,"Miwa"
1856826,"Miyada"
2111888,"Miyagi-ken"
1856801,"Miyaji"
1856798,"Miyajima"
1856789,"Miyake-naka"
2111884,"Miyako"
1856775,"Miyakonojō"
1856764,"Miyamaechō"
1907235,"Miyanomae"
1856828,"Miyata"
1856710,"Miyazaki"
1856717,"Miyazaki"
1856703,"Miyazu"
1856698,"Miyoshi"
1856697,"Miyoshi-shi"
1856685,"Mizoguchi"
2111862,"Mizuki"
1856667,"Mizunami"
2111859,"Mizusawa"
2111855,"Mobara"
2129052,"Mobetsu"
2129176,"Moiwashita"
2129163,"Mombetsu"
2111846,"Momiyama"
2111836,"Mooka"
1856586,"Mori"
1856584,"Moriguchi"
2111834,"Morioka"
2111831,"Moriya"
1856569,"Moriyama"
1856560,"Morohongō"
2129132,"Moseushi"
2111827,"Motegi"
1894388,"Motobu"
2114128,"Motodate"
1856531,"Motogoe"
1856524,"Motoichiba"
1856521,"Motomachi"
2127383,"Motomachi"
2129405,"Motomachi"
2111824,"Motomiya"
1856488,"Mugiura"
1856476,"Muikamachi"
1856472,"Mukai-awagasaki"
2130387,"Mukaiengaru"
1856456,"Mukō"
1856435,"Muraimachi-minami"
1856434,"Murakami"
1856426,"Muramatsu"
2129101,"Muroran"
1856392,"Muroto-misakicho"
1856386,"Murotsu"
1856367,"Musashino"
2127878,"Mutsu"
1856300,"Myōrakujichō"
1856293,"Nabari"
1856243,"Nagahama"
1856239,"Nagahamamachi"
2111781,"Nagai"
1856215,"Nagano"
1856210,"Nagano-ken"
1856212,"Naganohara"
1856207,"Nagao"
1856199,"Nagaoka"
1856184,"Nagareyama"
1856177,"Nagasaki"
1856156,"Nagasaki Prefecture"
2111756,"Nagasu"
1899102,"Nagato"
1856068,"Nago"
1856057,"Nagoya"
1856035,"Naha"
1856033,"Nahari"
2129073,"Naie"
2129072,"Naitōbokujō"
2111749,"Naka"
1855973,"Naka-gōchi"
1855987,"Nakagawa"
2129063,"Nakagawa"
1907116,"Nakai"
1855944,"Nakaichi"
1855939,"Nakaizumi"
1855933,"Nakajima"
1855907,"Nakama"
1855882,"Nakamura"
1855891,"Nakamura"
1855847,"Nakano"
1855863,"Nakano"
1855852,"Nakanojōmachi"
2129048,"Nakanosawa"
1855756,"Nakatsu"
1855757,"Nakatsu"
1855753,"Nakatsugawa"
1855730,"Nakayama"
2111713,"Nakayama"
1855713,"Nakijin"
2111706,"Namekawa"
1855694,"Namerikawa"
2111704,"Namie"
2129005,"Namioka"
1852579,"Nanabari"
1855670,"Nanao"
6694821,"Nanto-shi"
1855623,"Nanukaichi"
1855608,"Nara-ken"
1855612,"Nara-shi"
2111687,"Narashino"
2111684,"Narita"
1855585,"Narusawa"
1855580,"Narutochō-mitsuishi"
2111677,"Narutō"
1855566,"Nasuzukuri"
2128983,"Nayoro"
1855540,"Naze"
1855512,"Nemoto"
2128975,"Nemuro"
1855503,"Nerima"
6697563,"Neyagawa"
1855476,"Nichinan"
2111656,"Nihommatsu"
1855444,"Nihon’ōdōri"
1855431,"Niigata"
1855429,"Niigata-ken"
1855425,"Niihama"
1855416,"Niimi"
1855410,"Niitsu-honchō"
1855395,"Nikkō"
1855380,"Ninomiya"
1855363,"Nirasaki"
6941783,"Niseko Town"
1855357,"Nishi"
1850692,"Nishi-Tokyo-shi"
1855301,"Nishi-hanawa"
2128925,"Nishi-kagura"
1863978,"Nishifukuma"
1855309,"Nishigochō"
1855342,"Nishihara"
2114009,"Nishikawa"
1855265,"Nishikichō"
2128922,"Nishikioka"
1855207,"Nishinomiya-hama"
1855203,"Nishinoomote"
1855189,"Nishio"
1852385,"Nishishinminato"
1855134,"Nishiwaki"
1855114,"Nishizu"
6822209,"Nisshin"
1855095,"Nobeoka"
2128894,"Noboribetsu"
1855078,"Noda"
2111594,"Noguchi"
1854979,"Nonoichi"
1854964,"Nosato"
2128867,"Noshiro"
1854905,"Numata"
1854902,"Numazu"
1854868,"Nyūzen"
1855066,"Nōgata"
1854849,"Obama"
2111559,"Obanazawa"
2128815,"Obihiro"
1854807,"Obita"
1854798,"Obuse"
1854788,"Ochiai"
2111540,"Odaka"
2111541,"Odaka"
1854747,"Odawara"
1854691,"Ogano"
1854665,"Ogawa"
1854656,"Ogimachi"
1854626,"Ogose"
1854611,"Ogunimachi"
1854629,"Ogōri-shimogō"
1854579,"Ohama"
1853620,"Ohtemachi"
1854484,"Oita Prefecture"
1854444,"Ojiya"
1854431,"Okata"
1854384,"Okaya"
1854383,"Okayama"
1854381,"Okayama-ken"
1854376,"Okazaki"
1854371,"Okegawa"
2128730,"Oketo"
1854345,"Okinawa"
1894616,"Okinawa"
2128710,"Oku-ikutahara"
1862363,"Okuhida-onsengō-hitoegane"
2111441,"Okunoya"
1907174,"Okura"
2038728,"Okushiri"
1854156,"Omi"
2111429,"Omigawa"
2111401,"Onagawa Chō"
1854037,"Onna"
1854022,"Ono"
1854026,"Ono"
1854029,"Ono"
1854018,"Onoda"
1853992,"Onomichi"
1853908,"Osaka"
1853909,"Osaka"
1853807,"Oshi"
2128574,"Otaru"
2128558,"Otofuke"
6698269,"Owariasahi"
1853514,"Owase"
1853483,"Oyama"
2128498,"Pippu"
2128430,"Rausu"
1853412,"Renjakuchō"
2128412,"Retsureppu"
2111277,"Rifu"
2128407,"Rikubetsu"
7303387,"Rishiri Town"
1853398,"Rokujizō"
1853394,"Ronji"
2128382,"Rumoi"
2128372,"Rusutsu"
1853371,"Ryōtsu-minato"
2111258,"Ryūgasaki"
1853354,"Ryūō"
1853338,"Sabae"
1853303,"Saga"
1853299,"Saga-ken"
2111248,"Sagae"
1853295,"Sagamihara"
1853280,"Sagara"
1926054,"Saijō"
1853237,"Saiki"
6940394,"Saitama"
1853226,"Saitama-ken"
1853209,"Sakado"
1853202,"Sakaguchi"
1853193,"Sakai"
1853195,"Sakai"
1853192,"Sakai-nakajima"
1853188,"Sakaidechō"
1853190,"Sakaidechō"
1853174,"Sakaiminato"
1853163,"Sakaki"
1853140,"Sakata"
1853081,"Saku"
2111220,"Sakura"
1853072,"Sakurabashidōri"
1853071,"Sakurachō"
1853066,"Sakurai"
1853058,"Sakurakabu"
1853045,"Sanbashidōri"
2128327,"Sanbongi"
1853008,"Sandachō"
1852984,"Sanjō"
1853024,"Sanmyō"
2128303,"Sannohe"
1852964,"Sano"
2128295,"Sapporo"
2128277,"Sarufutsu"
1852915,"Sasaguri"
1852901,"Sasayama"
1852899,"Sasebo"
1852736,"Satsumasendai"
1852849,"Satte"
2111173,"Sawara"
1907146,"Sayama"
1852831,"Sayō"
1898046,"Seirō"
1852795,"Sekichō-furumaya"
1852788,"Sekigahara"
1852775,"Sekimachi"
2111154,"Sembokuchō"
1852748,"Sembonyama"
2111149,"Sendai"
1852699,"Senzaki"
1852679,"Seta"
1852673,"Setakamachi-takayanagi"
2038715,"Setana"
1852663,"Seto"
1852607,"Shibata"
2111127,"Shibayama"
2128207,"Shibecha"
2128206,"Shibetsu"
1852595,"Shibukawa"
1852588,"Shibushi"
2128194,"Shichinohe"
1852561,"Shido"
1852553,"Shiga"
2128186,"Shihoro"
1852534,"Shiida"
1852524,"Shijōdōri"
2128180,"Shikabe"
1852502,"Shiki"
1852479,"Shimabara"
1852472,"Shimada"
1852442,"Shimane-ken"
2128159,"Shimizu"
2111106,"Shimizukōji"
2128147,"Shimo-furano"
2128141,"Shimo-ihira"
1852201,"Shimo-satsume"
1852357,"Shimoda"
1852347,"Shimodate"
2129513,"Shimokizukuri"
1852278,"Shimokodanaka"
1852272,"Shimoku"
1852237,"Shimonita"
1852225,"Shimonoseki"
1852195,"Shimoshirouzu"
1851597,"Shimosomeda"
1907301,"Shimotoda"
2128112,"Shimukappu"
1852140,"Shinagawa-ku"
1852427,"Shinbashichō"
1847947,"Shingū"
1852109,"Shingū"
1852097,"Shinjichō-shinji"
2111065,"Shinjō"
1854461,"Shinochō-ōji"
2128139,"Shinshimokawa"
1852046,"Shinshiro"
2128095,"Shintoku"
1852038,"Shintō"
1852102,"Shin’ichi"
1852025,"Shiobaru"
2111049,"Shiogama"
2111043,"Shiogasaki"
1852003,"Shiojiri"
1851992,"Shiomidai"
1851951,"Shiozawa"
1851952,"Shiozawa"
1851937,"Shirahama"
1851935,"Shirahamachō-usazakiminami"
1851898,"Shirako"
2128072,"Shiraoi"
1851883,"Shiraoka"
1851842,"Shirayamamachi"
2111018,"Shiroi"
2111016,"Shiroishi"
1851813,"Shirone"
2111008,"Shisui"
1851751,"Shitara"
2110994,"Shizukuishi"
2128025,"Shizunai-furukawachō"
1851715,"Shizuoka"
1851717,"Shizuoka"
1851632,"Shuzenji"
1851713,"Shōbara"
1851711,"Shōbu"
6419432,"Shōwajima"
1851622,"Sobue"
1851617,"Soeda"
1851542,"Sueyoshichō-ninokata"
2110964,"Sugisaki"
1851504,"Sugito"
1851497,"Suguri"
1851494,"Suibara"
1851483,"Suita"
2110959,"Sukagawa"
1851462,"Sukumo"
1862732,"Suminoe-higashi"
1851426,"Sumoto"
2127955,"Sunagawa"
1851390,"Susaki"
1851383,"Susami"
2127949,"Suttsu"
1851368,"Suwa"
2110944,"Suwa"
1851357,"Suzaka"
1851348,"Suzuka"
2127985,"Sōbetsu"
1851606,"Sōja"
1851604,"Sōka"
1851323,"Tabuse"
1851319,"Tachiarai"
1851307,"Tachikawa"
1851292,"Tadami"
1851282,"Tadotsu"
1851279,"Taga"
1851273,"Tagawa"
1851259,"Tahara"
2127931,"Taiki"
1851193,"Tajimi"
2110901,"Takado"
2110893,"Takahagi"
1851155,"Takahama"
1851141,"Takaharu"
1851137,"Takahashi"
2110891,"Takahata"
1851125,"Takaishi"
1851114,"Takajōmachi"
1851099,"Takamatsu"
1851100,"Takamatsu"
1851079,"Takamori"
1851068,"Takanabe"
2127910,"Takanosu"
1851032,"Takaoka"
1851012,"Takarazuka"
1851009,"Takasagochō-takasemachi"
1851002,"Takasaki"
1850943,"Takata"
1907243,"Takata"
1850940,"Takatachō"
1850924,"Takatorichō"
1850916,"Takatsu"
1850910,"Takatsuki"
1850892,"Takayama"
1850878,"Takedamachi"
1850872,"Takefu"
1850860,"Takehara"
1850837,"Takenouchi"
1850834,"Takeochō-takeo"
1850822,"Taketomi"
1850818,"Taketoyo"
2127896,"Takikawa"
2127883,"Takko"
2110850,"Tako"
1850762,"Tamagawa"
1850746,"Tamamura"
1850745,"Tamana"
1850742,"Tamano"
1850736,"Tamarai"
1850718,"Tamba"
1850707,"Tanabe"
1850708,"Tanabe"
2110837,"Tanagura"
1850693,"Tanashichō"
